,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,98,19,1680,34,87,59
1,98,3,1796,23,89,42
2,100,0,1784,34,92,56
3,98,97,1814,28,99,55
4,99,50,1596,27,91,45
5,100,0,1803,30,95,47
6,100,0,1738,25,100,47
7,99,1,1815,23,84,42
8,99,60,1599,29,95,45
9,100,0,1736,37,99,64
10,100,0,1706,29,71,49
11,99,4,1736,32,86,50
12,100,0,1745,28,98,50
13,100,0,1650,27,82,49
14,99,1,1808,21,97,40
15,99,1,1679,27,99,44
16,100,0,1751,21,62,40
17,100,0,1814,26,91,46
18,99,1,1817,33,73,55
19,100,0,1725,27,85,45
20,99,91,1786,27,97,47
21,99,1,1771,29,68,48
22,100,0,1668,34,99,56
23,100,0,1708,28,96,51
24,99,1,1795,29,97,52
25,100,0,1617,28,96,45
26,99,1,1796,21,97,41
27,96,41,1706,40,98,65
28,100,0,1759,29,86,51
29,98,48,1815,34,89,53
30,99,1,1749,35,97,60
31,98,82,1686,22,86,40
32,100,0,1793,29,100,50
33,67,100,1205,216,100,63
34,99,1,1748,26,49,48
35,99,1,1806,35,99,59
36,98,66,1712,31,98,51
37,98,100,1799,26,83,47
38,100,0,1829,30,100,49
39,100,0,1862,30,70,49
40,99,1,1728,27,98,46
41,100,0,1808,21,97,42
42,100,0,1833,30,90,49
43,99,3,1822,30,80,51
44,100,0,1773,28,59,52
45,100,0,1698,29,98,50
46,98,24,1645,37,85,59
47,99,37,1780,27,82,48
48,99,11,1797,21,98,37
49,98,31,1624,23,94,49
50,99,1,1764,29,98,48
51,98,77,1680,28,100,47
52,97,76,1650,68,97,46
53,100,0,1768,28,95,47
54,100,0,1844,27,73,41
55,100,0,1687,26,96,45
56,99,18,1630,35,98,59
57,98,15,1758,29,98,52
58,99,83,1710,29,94,47
59,100,0,1845,23,100,43
60,100,0,1732,29,88,50
61,99,10,1755,23,100,44
62,98,24,1707,31,94,48
63,100,0,1705,25,71,39
64,99,1,1691,30,94,52
65,99,38,1781,26,77,51
66,100,0,1898,25,97,42
67,100,0,1954,28,90,47
68,100,0,1770,28,92,46
69,98,50,1759,28,85,49
70,98,77,1617,31,99,51
71,99,86,1793,30,71,51
72,99,3,1848,26,91,50
73,99,88,1735,32,98,55
74,98,29,1785,32,88,57
75,100,0,1849,27,99,46
76,100,0,1751,29,95,49
77,98,9,1684,34,92,56
78,99,1,1856,38,95,60
79,99,1,1736,23,85,47
80,96,30,1661,29,95,49
81,70,98,1254,184,98,74
82,99,1,1927,33,99,51
83,98,35,1715,33,80,54
84,99,1,1787,26,94,45
85,99,1,1743,38,99,59
86,99,27,1744,31,93,52
87,100,0,1876,33,89,49
88,100,0,1760,32,95,58
89,100,0,1726,33,83,57
90,98,18,1681,28,99,48
91,100,0,1733,23,84,44
92,100,0,1724,30,55,57
93,99,1,1826,28,79,46
94,100,0,1789,31,87,47
95,98,18,1683,29,99,45
96,98,53,1740,33,82,51
97,99,1,1651,43,82,67
98,99,19,1767,29,97,49
99,99,2,1627,29,81,48
