,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,1,1723,76,100,59
1,97,36,1756,80,93,63
2,88,91,1423,198,97,66
3,97,4,1558,80,95,56
4,91,54,1516,178,100,56
5,96,6,1692,76,48,54
6,97,7,1608,80,73,52
7,97,30,1641,83,96,59
8,95,87,1702,79,99,60
9,94,68,1405,158,99,62
10,97,3,1665,78,94,51
11,98,3,1798,73,96,56
12,99,1,1880,64,98,54
13,97,3,1645,69,89,53
14,99,1,1669,69,100,55
15,97,3,1865,85,99,68
16,94,55,1658,84,78,62
17,99,2,1715,82,93,57
18,84,93,1568,345,100,67
19,94,27,1697,73,90,66
20,96,24,1716,80,100,55
21,97,5,1818,84,91,50
22,59,99,1016,277,99,64
23,97,4,1632,67,95,56
24,98,5,1791,88,98,50
25,96,21,1838,72,95,56
26,97,50,1774,74,71,54
27,98,9,1778,82,85,57
28,97,5,1743,73,99,53
29,98,5,1747,75,93,67
30,94,55,1743,82,74,54
31,98,3,1782,74,97,57
32,96,8,1688,74,81,57
33,97,8,1755,69,65,59
34,95,53,1664,71,100,53
35,94,40,1665,73,92,57
36,98,89,1708,74,100,63
37,97,3,1797,82,90,70
38,98,2,1684,83,100,60
39,98,3,1754,73,83,46
40,99,1,1621,81,97,59
41,95,62,1700,86,92,67
42,94,54,1534,197,100,62
43,98,11,1606,102,100,56
44,95,7,1722,74,95,55
45,96,8,1807,75,91,58
46,98,2,1674,117,100,56
47,97,86,1838,75,89,61
48,98,2,1567,70,79,54
49,97,4,1734,89,95,66
50,97,5,1695,79,70,58
51,96,4,1692,69,85,52
52,97,3,1664,82,81,56
53,97,4,1789,89,91,59
54,98,54,1707,79,97,62
55,98,2,1769,82,94,56
56,97,3,1813,72,94,58
57,98,7,1765,71,83,56
58,98,3,1710,67,66,52
59,97,4,1681,76,96,56
60,96,4,1589,75,92,59
61,98,4,1618,87,81,59
62,98,2,1638,68,96,52
63,89,77,1537,170,100,54
64,98,8,1764,68,94,56
65,96,9,1616,82,99,58
66,97,7,1748,79,85,57
67,98,2,1594,73,89,59
68,98,3,1700,77,97,61
69,97,5,1606,88,85,64
70,95,6,1694,83,93,49
71,98,28,1684,91,99,65
72,97,3,1680,79,94,61
73,71,98,1375,206,98,65
74,98,3,1643,86,100,59
75,96,6,1726,88,90,70
76,98,3,1700,79,97,52
77,98,3,1805,80,88,56
78,98,2,1666,80,88,59
79,94,36,1691,83,98,61
80,96,5,1634,77,69,56
81,99,2,1787,73,100,54
82,97,4,1729,77,93,58
83,97,3,1723,78,75,63
84,95,26,1658,86,99,75
85,97,55,1589,82,95,56
86,99,3,1634,70,92,57
87,96,75,1651,85,75,61
88,98,3,1731,80,98,63
89,98,7,1761,82,92,61
90,96,51,1706,76,97,53
91,96,7,1813,80,87,55
92,92,96,1653,143,97,61
93,97,86,1705,71,86,48
94,97,8,1671,87,99,69
95,97,55,1592,74,100,56
96,97,22,1691,74,91,58
97,98,3,1723,76,97,55
98,97,4,1801,73,96,57
99,97,4,1728,75,95,57
