,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,100,0,1842,25,91,50
1,99,19,1659,31,96,54
2,98,2,1858,30,94,56
3,99,1,1710,29,69,51
4,99,34,1718,32,85,56
5,100,0,1688,30,87,53
6,99,36,1751,36,95,59
7,100,0,1800,27,90,49
8,100,0,1800,31,96,55
9,99,1,1768,28,96,53
10,100,0,1887,14,50,36
11,99,30,1559,32,79,55
12,100,0,1734,28,63,48
13,100,0,1753,25,99,47
14,99,14,1773,30,100,51
15,99,10,1762,29,99,48
16,97,31,1734,25,84,39
17,98,69,1726,32,97,51
18,99,1,1840,30,99,51
19,99,1,1706,29,90,50
20,100,0,1727,26,87,50
21,98,13,1772,30,91,56
22,99,1,1752,28,70,53
23,99,1,1794,25,100,40
24,99,1,1848,33,98,55
25,99,29,1776,25,92,46
26,99,1,1817,31,88,50
27,100,0,1753,26,95,48
28,99,5,1755,33,96,56
29,98,88,1768,37,94,59
30,99,1,1792,27,85,47
31,99,1,1718,29,91,49
32,100,0,1803,27,99,43
33,100,0,1653,26,97,44
34,99,3,1849,27,91,41
35,97,53,1728,29,73,51
36,100,0,1836,24,91,44
37,100,0,1711,27,85,45
38,100,0,1720,30,91,49
39,99,1,1779,32,74,51
40,99,34,1821,31,99,56
41,98,14,1704,31,89,52
42,99,1,1624,34,98,56
43,98,47,1787,31,100,56
44,98,60,1793,30,91,49
45,100,0,1786,29,82,52
46,100,0,1786,27,100,49
47,100,0,1731,25,99,49
48,100,0,1856,34,91,55
49,98,68,1712,34,97,56
50,99,67,1792,33,100,62
51,98,49,1627,30,96,49
52,99,98,1881,30,87,49
53,99,1,1863,32,100,56
54,99,15,1700,33,99,59
55,89,98,1693,231,100,56
56,99,77,1737,22,85,42
57,100,0,1801,23,96,43
58,100,0,1712,21,71,36
59,100,0,1858,32,85,56
60,98,54,1765,31,89,48
61,100,0,1672,32,96,49
62,99,31,1770,31,88,55
63,97,26,1689,25,86,47
64,99,36,1748,25,95,45
65,100,0,1865,31,89,51
66,98,6,1828,29,88,47
67,99,1,1761,33,96,57
68,100,0,1676,27,99,51
69,99,2,1797,31,83,58
70,100,0,1822,23,85,43
71,99,5,1818,26,97,51
72,99,54,1830,27,84,51
73,99,1,1650,27,95,52
74,99,13,1771,21,88,40
75,99,1,1842,30,85,48
76,99,1,1695,32,88,53
77,100,0,1728,27,100,53
78,100,0,1862,27,96,46
79,100,0,1728,30,93,49
80,99,73,1660,24,90,53
81,100,0,1875,31,93,54
82,98,81,1793,34,89,53
83,100,0,1691,25,77,45
84,98,2,1754,25,74,43
85,99,66,1727,26,92,42
86,99,1,1817,33,100,52
87,99,93,1807,61,100,44
88,98,32,1673,27,99,47
89,100,0,1763,24,98,45
90,99,7,1751,24,85,47
91,95,83,1560,122,99,61
92,99,51,1716,33,90,58
93,98,99,1743,36,99,61
94,99,100,1757,32,93,55
95,100,0,1727,20,74,43
96,99,1,1775,24,75,45
97,71,92,1156,183,99,76
98,99,1,1802,21,84,42
99,99,1,1813,32,100,53
