,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,89,100,1442,146,100,69
1,100,0,1696,36,97,54
2,99,60,1826,30,94,54
3,99,99,1875,36,99,58
4,100,0,1737,39,100,57
5,98,19,1635,40,89,65
6,99,1,1742,31,100,49
7,98,48,1825,31,79,51
8,100,0,1759,32,93,59
9,99,1,1836,35,71,53
10,99,1,1825,36,97,56
11,99,3,1842,37,79,55
12,99,1,1886,27,73,50
13,100,0,1675,34,97,48
14,100,0,1695,31,94,54
15,99,2,1783,32,98,55
16,99,1,1775,34,93,51
17,99,1,1903,42,96,69
18,98,74,1716,38,95,57
19,99,41,1732,27,100,47
20,100,0,1758,34,97,55
21,100,0,1756,34,83,58
22,98,14,1753,45,96,66
23,99,1,1784,38,80,57
24,100,0,1711,26,100,41
25,100,0,1753,42,92,60
26,98,57,1695,31,71,48
27,98,30,1799,32,89,44
28,97,92,1749,41,92,65
29,99,74,1771,28,74,51
30,99,1,1793,37,46,58
31,99,1,1703,32,98,52
32,99,1,1840,25,73,44
33,97,81,1717,35,81,58
34,99,1,1712,27,94,46
35,99,25,1788,28,96,49
36,99,1,1718,35,97,53
37,98,19,1731,34,90,55
38,99,31,1823,34,82,57
39,99,86,1706,43,86,67
40,99,1,1703,42,89,56
41,99,1,1850,39,100,56
42,98,61,1787,25,88,43
43,100,0,1686,32,99,52
44,100,0,1887,39,100,63
45,99,1,1868,31,90,52
46,93,89,1541,138,100,58
47,98,56,1832,33,99,52
48,100,0,1689,36,92,55
49,99,1,1744,44,96,66
50,100,0,1711,30,90,46
51,100,0,1630,41,86,61
52,100,0,1791,32,94,48
53,100,0,1727,33,83,49
54,99,1,1765,34,89,53
55,99,1,1723,44,92,68
56,93,97,1506,120,99,49
57,99,21,1787,31,58,49
58,99,1,1893,43,100,61
59,99,55,1796,26,86,48
60,100,0,1744,35,99,51
61,100,0,1743,27,96,48
62,99,1,1745,35,97,59
63,98,65,1821,30,89,50
64,100,0,1844,34,72,58
65,99,1,1771,37,91,59
66,100,0,1809,28,81,51
67,99,1,1796,35,87,54
68,98,13,1728,31,91,51
69,99,1,1707,29,92,53
70,100,0,1767,35,97,58
71,100,0,1803,38,100,54
72,100,0,1675,37,97,55
73,98,83,1665,34,95,53
74,98,52,1698,33,93,52
75,100,0,1678,36,98,54
76,100,0,1799,34,95,54
77,100,0,1704,28,96,53
78,98,47,1771,43,98,67
79,99,3,1692,25,86,47
80,100,0,1749,28,63,48
81,100,0,1767,26,94,48
82,100,0,1680,70,100,54
83,100,0,1752,32,97,51
84,98,80,1735,25,84,45
85,100,0,1680,31,98,51
86,100,0,1785,29,93,48
87,99,1,1729,32,93,49
88,99,29,1712,38,99,63
89,99,57,1819,36,93,62
90,99,1,1682,36,84,59
91,97,62,1660,35,100,58
92,99,1,1615,32,95,52
93,99,1,1749,30,90,48
94,99,1,1666,36,100,53
95,98,47,1717,34,86,51
96,100,0,1843,25,78,46
97,98,36,1618,34,86,54
98,99,9,1693,32,88,55
99,99,1,1727,31,92,50
