,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,100,0,1809,26,89,42
1,100,0,1801,23,90,48
2,99,1,1761,24,72,44
3,98,2,1629,39,100,64
4,100,0,1768,28,93,47
5,100,0,1906,62,100,45
6,99,77,1834,25,100,41
7,100,0,1802,23,95,39
8,99,15,1716,20,93,36
9,99,21,1651,29,100,46
10,100,0,1726,25,94,40
11,99,46,1736,31,97,48
12,99,1,1767,31,99,53
13,100,0,1777,29,97,48
14,99,56,1842,31,98,57
15,100,0,1720,31,99,53
16,99,41,1735,22,69,43
17,99,1,1851,28,92,50
18,99,1,1628,28,91,47
19,100,0,1960,27,93,44
20,100,0,1673,30,82,47
21,100,0,1771,26,90,51
22,100,0,1786,23,92,39
23,99,2,1845,25,90,43
24,99,96,1769,31,100,50
25,99,82,1857,28,97,44
26,100,0,1896,19,100,36
27,98,33,1710,31,85,53
28,99,1,1898,26,84,46
29,98,52,1802,24,66,43
30,98,90,1753,31,100,50
31,99,64,1670,34,97,54
32,100,0,1763,28,94,48
33,100,0,1722,28,95,54
34,99,40,1624,19,95,35
35,99,1,1764,32,88,52
36,100,0,1811,22,98,42
37,100,0,1807,35,97,59
38,100,0,1795,26,93,49
39,98,63,1692,33,90,57
40,100,0,1862,28,94,54
41,99,1,1692,34,96,57
42,100,0,1766,38,93,63
43,99,27,1719,34,87,54
44,99,76,1737,34,99,56
45,98,22,1682,32,83,59
46,100,0,1745,29,95,52
47,100,0,1694,32,96,48
48,99,1,1771,27,96,53
49,99,44,1792,31,97,53
50,99,1,1595,36,100,59
51,100,0,1740,27,97,46
52,99,1,1731,37,94,56
53,99,5,1745,31,97,53
54,100,0,1903,26,94,49
55,98,7,1607,22,83,38
56,99,1,1786,30,93,51
57,98,57,1661,30,97,50
58,100,0,1710,33,98,54
59,97,100,1739,32,100,50
60,100,0,1690,26,98,42
61,100,0,1691,29,85,50
62,99,1,1689,32,99,56
63,100,0,1734,34,98,57
64,98,34,1702,31,78,54
65,100,0,1820,27,93,46
66,98,13,1694,37,96,57
67,100,0,1843,26,100,46
68,99,1,1818,25,85,46
69,99,88,1736,33,99,61
70,99,76,1722,29,86,47
71,100,0,1779,32,98,50
72,62,100,1169,231,100,65
73,99,1,1809,26,77,44
74,99,1,1628,30,88,55
75,99,1,1801,32,95,53
76,98,64,1775,34,100,54
77,100,0,1666,35,98,54
78,97,47,1745,29,93,49
79,100,0,1823,23,72,40
80,99,1,1825,25,95,42
81,99,1,1808,31,98,58
82,100,0,1905,31,90,52
83,99,1,1809,31,100,48
84,99,36,1792,25,93,41
85,99,1,1637,33,100,52
86,99,9,1702,30,95,50
87,99,11,1836,33,97,54
88,100,0,1787,30,95,50
89,98,2,1737,23,93,45
90,98,81,1761,23,92,38
91,99,1,1852,29,88,49
92,100,0,1776,27,93,51
93,100,0,1834,25,90,49
94,69,95,1181,207,100,62
95,97,35,1762,25,95,43
96,100,0,1696,25,88,42
97,100,0,1865,27,90,54
98,99,21,1742,27,93,47
99,100,0,1756,27,96,50
