,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,96,9,1692,123,100,60
1,94,6,1740,113,98,64
2,94,7,1725,117,96,59
3,96,8,1570,139,92,59
4,95,12,1594,102,91,51
5,96,7,1812,103,87,55
6,97,3,1683,106,97,55
7,92,63,1670,125,93,63
8,94,14,1613,120,78,59
9,97,4,1610,125,99,62
10,94,11,1688,114,98,57
11,96,55,1638,116,99,59
12,96,9,1782,127,95,59
13,95,9,1646,115,88,57
14,95,6,1616,110,83,60
15,94,17,1579,167,100,61
16,95,9,1666,111,87,51
17,94,9,1655,107,87,57
18,95,9,1637,119,97,68
19,94,76,1477,108,100,69
20,94,6,1665,120,77,53
21,95,62,1660,122,100,55
22,95,8,1735,122,95,55
23,94,7,1659,127,97,64
24,96,6,1582,109,93,58
25,94,36,1643,123,98,64
26,94,8,1584,114,97,61
27,95,14,1722,115,99,56
28,96,8,1656,131,100,56
29,94,9,1487,116,91,62
30,92,12,1638,126,98,62
31,93,75,1591,132,85,69
32,97,9,1554,129,98,63
33,95,11,1559,129,100,64
34,95,6,1630,109,99,63
35,95,10,1689,111,82,70
36,94,10,1655,103,93,52
37,93,72,1712,100,100,53
38,95,6,1607,115,79,56
39,96,7,1742,104,100,64
40,96,93,1700,116,89,52
41,94,13,1623,117,88,56
42,95,73,1528,121,97,57
43,96,6,1780,111,100,61
44,95,7,1693,124,98,55
45,93,14,1660,108,86,58
46,95,7,1788,108,98,56
47,94,10,1589,123,100,65
48,95,45,1750,125,85,60
49,96,55,1569,108,85,65
50,96,6,1768,116,83,61
51,93,89,1549,105,98,61
52,95,11,1714,164,99,57
53,96,7,1750,103,95,48
54,95,51,1703,119,87,61
55,96,6,1657,108,91,65
56,94,12,1666,128,95,63
57,63,99,1137,284,99,73
58,95,6,1675,126,99,72
59,96,8,1571,113,100,57
60,95,10,1577,125,98,66
61,93,64,1577,154,100,69
62,96,4,1813,107,97,60
63,93,10,1655,107,97,65
64,96,7,1775,109,94,59
65,94,9,1557,174,98,63
66,93,8,1644,115,95,51
67,95,91,1760,130,91,67
68,94,95,1705,121,95,64
69,96,4,1587,111,97,59
70,95,9,1540,129,100,62
71,94,6,1764,121,100,60
72,94,10,1710,110,98,46
73,96,6,1617,142,99,74
74,92,77,1473,113,93,58
75,95,55,1555,111,98,59
76,94,9,1641,114,82,57
77,95,88,1715,106,93,64
78,96,4,1610,110,95,54
79,96,14,1639,109,95,57
80,96,4,1625,111,96,53
81,98,3,1683,122,100,65
82,96,13,1616,122,97,54
83,93,88,1574,123,100,62
84,94,98,1723,112,100,62
85,95,12,1736,107,80,56
86,92,33,1503,140,96,73
87,96,7,1719,118,92,58
88,94,96,1671,120,100,60
89,96,6,1720,124,95,73
90,97,7,1660,102,99,50
91,94,9,1605,115,94,59
92,96,7,1603,123,99,55
93,95,6,1574,103,86,47
94,96,27,1614,116,98,64
95,94,25,1594,128,94,64
96,97,7,1651,110,99,61
97,95,16,1685,118,94,60
98,96,7,1618,117,77,65
99,91,62,1529,115,100,67
