,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,98,2,1800,55,98,68
1,98,2,1800,48,83,53
2,98,30,1697,50,99,60
3,96,46,1703,56,83,63
4,98,2,1710,46,100,59
5,99,14,1754,50,96,60
6,98,2,1664,53,81,59
7,97,66,1639,118,77,57
8,98,70,1672,41,99,56
9,97,22,1704,89,83,52
10,97,96,1558,125,98,78
11,98,21,1671,54,97,69
12,99,1,1958,56,99,65
13,96,69,1766,46,87,50
14,99,1,1700,43,87,51
15,98,51,1733,47,96,60
16,97,26,1611,49,99,62
17,98,2,1749,51,98,56
18,100,0,1793,46,98,56
19,99,1,1669,50,88,58
20,98,3,1838,88,97,68
21,98,5,1798,95,97,70
22,99,1,1730,54,97,64
23,98,2,1752,56,92,55
24,97,82,1812,62,96,67
25,97,21,1808,48,75,56
26,98,2,1768,44,95,48
27,98,2,1705,51,90,55
28,99,1,1906,49,99,52
29,99,4,1847,45,89,56
30,98,10,1699,46,100,59
31,98,13,1701,52,96,52
32,99,19,1740,45,98,55
33,99,2,1803,43,61,51
34,98,74,1726,47,99,61
35,98,13,1782,56,93,60
36,99,1,1730,52,94,56
37,98,3,1822,45,83,51
38,98,3,1745,48,58,49
39,99,1,1839,47,100,55
40,99,89,1842,50,91,56
41,98,13,1839,47,95,52
42,95,31,1527,47,86,59
43,99,1,1725,49,94,59
44,98,2,1705,47,96,57
45,98,5,1794,46,95,50
46,98,99,1769,43,89,48
47,96,65,1456,49,97,54
48,94,82,1537,148,99,63
49,98,2,1780,47,93,63
50,96,47,1666,60,99,66
51,99,1,1638,56,95,58
52,98,49,1819,51,97,59
53,98,67,1715,43,99,54
54,98,2,1727,53,94,63
55,99,1,1562,44,95,49
56,99,1,1761,38,86,45
57,99,3,1837,44,97,57
58,98,2,1772,48,73,54
59,100,0,1833,41,98,47
60,98,3,1823,50,100,57
61,99,3,1786,48,99,59
62,98,80,1658,54,88,62
63,98,5,1833,90,94,47
64,96,53,1580,61,98,67
65,97,88,1650,52,91,57
66,100,0,1749,53,100,60
67,99,2,1846,53,100,59
68,99,1,1644,52,88,60
69,98,51,1550,46,97,61
70,97,93,1703,53,99,66
71,98,2,1737,48,87,59
72,99,1,1701,51,93,58
73,99,1,1624,44,83,49
74,99,1,1766,46,72,56
75,98,65,1702,57,99,62
76,98,2,1688,49,99,60
77,98,54,1778,47,96,48
78,99,2,1768,61,99,70
79,98,3,1692,45,70,58
80,100,0,1808,57,95,71
81,99,1,1814,61,99,59
82,99,1,1718,51,99,63
83,97,43,1736,50,85,56
84,99,2,1783,45,100,48
85,98,2,1847,52,91,54
86,94,55,1755,94,83,62
87,99,1,1766,48,95,54
88,100,0,1713,49,97,51
89,99,1,1773,46,52,44
90,97,38,1772,53,76,71
91,98,2,1709,49,94,54
92,98,2,1802,53,98,55
93,98,62,1883,52,96,50
94,99,2,1871,51,91,62
95,99,2,1739,56,92,71
96,99,1,1830,49,93,69
97,98,8,1682,53,89,55
98,99,58,1759,43,96,58
99,99,1,1659,54,82,58
