,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,1,1680,32,90,50
1,96,70,1680,39,90,57
2,99,1,1799,21,97,40
3,100,0,1703,21,100,41
4,100,0,1649,24,99,41
5,98,3,1801,32,99,53
6,99,1,1794,31,72,55
7,100,0,1755,32,98,54
8,99,1,1820,35,98,54
9,100,0,1669,27,98,47
10,98,4,1635,30,80,49
11,100,0,1719,32,92,54
12,99,3,1941,30,89,53
13,100,0,1813,22,90,40
14,100,0,1847,26,95,47
15,100,0,1780,32,91,49
16,100,0,1734,29,97,48
17,99,28,1666,30,92,58
18,99,86,1761,27,100,45
19,100,0,1744,29,71,50
20,99,97,1741,28,97,48
21,98,58,1715,30,96,48
22,99,20,1809,29,99,49
23,99,1,1713,25,100,44
24,99,81,1678,36,98,54
25,100,0,1811,26,99,45
26,98,72,1805,29,88,48
27,100,0,1810,23,87,42
28,97,87,1721,30,99,50
29,100,0,1752,29,99,46
30,100,0,1649,29,89,55
31,99,23,1766,29,99,48
32,99,1,1786,27,95,50
33,99,1,1731,31,100,54
34,98,58,1722,34,81,55
35,100,0,1767,34,94,53
36,99,3,1872,25,88,47
37,99,1,1781,19,54,41
38,100,0,1645,34,88,54
39,99,1,1767,30,99,51
40,100,0,1819,27,91,50
41,100,0,1814,29,94,45
42,99,42,1876,31,98,53
43,100,0,1929,29,91,48
44,99,1,1787,35,96,57
45,100,0,1640,23,96,44
46,100,0,1873,24,87,42
47,99,2,1717,29,88,48
48,99,35,1695,29,97,48
49,100,0,1833,35,93,57
50,99,25,1829,36,95,57
51,99,50,1827,28,87,51
52,99,36,1681,22,68,36
53,98,75,1785,35,80,60
54,99,1,1797,35,92,58
55,99,1,1532,27,92,53
56,99,1,1779,32,99,52
57,98,8,1789,37,93,64
58,100,0,1741,29,82,53
59,98,98,1717,33,98,57
60,100,0,1777,25,88,41
61,100,0,1710,40,98,61
62,98,41,1758,32,99,51
63,100,0,1647,24,75,44
64,100,0,1719,28,100,50
65,99,1,1791,30,84,52
66,99,1,1830,26,99,46
67,99,1,1678,40,88,63
68,99,1,1746,32,96,59
69,97,5,1707,37,86,61
70,100,0,1736,24,81,44
71,100,0,1731,23,98,43
72,100,0,1772,27,88,45
73,98,78,1812,29,78,47
74,99,67,1696,38,99,54
75,100,0,1618,36,100,61
76,100,0,1759,27,100,48
77,100,0,1690,35,99,55
78,99,1,1749,24,95,41
79,99,1,1720,26,95,51
80,100,0,1761,32,96,51
81,99,1,1684,27,85,50
82,100,0,2016,29,99,49
83,100,0,1715,28,100,47
84,100,0,1818,29,75,52
85,99,60,1810,23,97,45
86,99,1,1787,27,80,52
87,100,0,1771,31,99,51
88,99,63,1481,30,99,53
89,100,0,1721,38,97,58
90,100,0,1693,32,100,54
91,99,70,1803,32,99,50
92,100,0,1613,38,98,64
93,99,51,1810,33,98,56
94,99,10,1850,29,90,50
95,100,0,1748,30,98,48
96,99,1,1753,31,80,55
97,99,1,1674,31,99,50
98,99,1,1684,34,95,59
99,100,0,1790,32,97,51
