,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,2199.5,304.88753362,96,53,1653,126,100,69
1,2158.5,335.929226627,97,86,1521,111,86,62
2,2145.5,318.117271541,97,11,1629,115,93,66
3,2160.0,324.759370524,96,5,1639,144,97,64
4,2153.0,310.871584119,97,7,1626,113,99,66
5,2146.0,318.32346413,95,8,1765,110,95,59
6,2122.0,315.641092547,96,10,1666,119,99,56
7,2148.0,301.953265851,95,51,1656,128,96,62
8,2101.0,298.629830227,96,16,1661,117,65,64
9,2210.5,293.801470526,95,69,1752,135,77,66
10,2095.0,287.398845436,93,96,1459,219,100,72
11,2057.0,298.955999072,92,80,1554,123,96,68
12,2116.0,314.404230484,94,12,1669,120,95,71
13,2105.5,299.140229389,92,41,1585,127,100,77
14,2224.0,296.126560752,95,34,1612,173,100,68
15,2262.5,317.469856036,96,8,1724,119,96,71
16,2149.5,297.098695988,94,7,1788,134,97,79
17,2174.0,262.661873112,68,99,1165,274,99,76
18,2132.0,313.097290669,94,15,1735,129,95,74
19,2048.5,315.708663972,94,63,1621,113,95,62
20,2213.5,301.219582578,95,6,1750,128,100,76
21,2137.0,280.318411109,93,9,1565,136,94,72
22,2211.5,319.249592484,96,85,1670,116,100,71
23,2126.5,296.546290585,93,13,1708,137,83,76
24,2131.5,274.498277645,95,12,1526,134,96,82
25,2119.5,295.644082526,95,46,1667,118,92,64
26,2120.0,303.538409218,94,69,1647,130,99,79
27,2149.5,313.004467618,94,13,1750,110,94,67
28,2107.0,299.939687269,96,5,1660,122,94,63
29,2184.0,311.823457615,95,6,1778,122,99,62
30,2188.0,300.606122984,96,25,1664,113,92,72
31,2090.0,282.89985679,94,6,1485,126,88,65
32,2086.5,304.589991097,94,9,1733,120,94,64
33,2139.0,335.178135526,97,10,1602,115,88,73
34,2063.5,282.057826259,93,9,1636,142,97,74
35,2047.0,259.397078678,92,10,1520,142,100,75
36,2126.0,285.1005088,92,11,1571,125,94,71
37,2207.5,288.67420381,95,10,1562,130,99,76
38,2124.5,300.624442034,95,13,1731,127,86,65
39,2188.0,302.654582086,96,6,1689,130,95,77
40,2179.5,307.483479452,96,6,1568,126,97,72
41,2154.5,298.757124894,95,10,1561,113,99,72
42,2139.5,309.046107946,95,71,1672,112,97,61
43,2146.0,291.480497159,96,6,1696,134,87,71
44,2194.5,314.419344848,95,37,1622,119,99,69
45,2155.5,307.688173151,97,5,1622,125,87,67
46,2084.0,294.145640241,94,8,1587,132,95,69
47,2095.5,295.123880691,95,6,1712,118,92,76
48,2081.0,297.275109127,93,9,1485,107,91,61
49,2038.0,294.408242677,92,80,1559,128,87,61
50,2223.5,304.892224506,94,7,1674,116,86,72
51,2161.5,307.36374221,96,7,1617,122,93,75
52,2124.5,310.903690835,95,10,1640,127,98,70
53,2165.0,298.088851582,95,15,1532,130,96,75
54,2147.5,289.656231249,95,9,1712,124,87,64
55,2104.0,308.058145894,95,9,1530,118,91,60
56,2173.5,299.384019379,96,13,1665,136,100,73
57,2162.5,313.760323899,96,4,1717,107,88,65
58,2170.0,278.93866823,95,7,1622,126,92,65
59,2098.0,308.766006481,95,81,1643,119,94,66
60,2067.5,284.867942553,94,7,1637,129,95,81
61,2126.0,291.277354546,94,85,1641,122,99,67
62,2104.0,295.278180884,95,8,1651,108,93,66
63,2118.5,290.646375878,93,81,1516,128,86,56
64,2109.0,306.51173036,95,10,1702,119,93,63
65,2200.5,299.875754367,94,10,1750,126,99,66
66,2082.5,285.177326701,96,7,1687,124,92,65
67,2105.5,287.580129244,94,11,1561,131,83,76
68,2098.0,314.779901134,96,5,1546,114,98,65
69,2141.5,299.302127981,94,10,1677,122,100,73
70,2186.0,308.749317881,96,6,1729,122,75,69
71,2205.5,278.261598407,93,28,1613,138,100,87
72,2189.0,302.334432946,97,13,1507,126,94,66
73,2231.5,310.755417352,95,10,1667,115,99,64
74,2134.5,291.270096208,95,5,1609,121,96,62
75,2133.0,295.612384231,97,58,1537,110,97,57
76,2055.5,316.94487878,97,8,1707,122,97,65
77,2183.5,298.619549935,96,12,1721,116,99,67
78,2151.5,325.571228368,96,77,1621,127,87,76
79,2138.0,303.362269727,96,7,1603,131,92,73
80,2127.0,341.022371625,96,13,1672,124,93,71
81,2197.5,294.907618453,96,48,1625,120,100,67
82,2210.5,316.584453907,98,2,1662,116,87,65
83,2095.5,311.004833985,98,11,1579,127,100,78
84,2159.5,333.147628948,96,21,1656,114,92,70
85,2257.0,312.272286716,94,14,1794,171,100,65
86,2156.5,317.019862438,96,37,1632,122,100,59
87,2133.5,312.168043511,94,25,1699,120,89,67
88,2165.5,257.77722364,94,7,1638,142,93,85
89,2092.5,299.180435771,93,14,1496,124,98,69
90,2137.0,270.899738181,94,12,1752,130,100,65
91,2291.0,321.796674364,97,6,1760,170,96,73
92,2117.0,313.352354522,97,5,1713,128,89,63
93,2287.5,259.523171173,71,97,1148,275,100,84
94,2146.0,320.856514629,94,29,1734,115,97,69
95,2105.0,291.292190359,95,29,1471,135,86,80
96,2093.5,296.53756711,93,14,1592,132,99,69
97,2204.5,320.777932088,96,5,1675,121,98,76
98,2173.0,346.496313499,97,6,1744,114,98,65
99,2142.5,291.75014292,93,36,1658,122,90,71
