,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,2286.0,426.565009506,98,78,1867,31,97,59
1,2256.5,416.225648301,98,25,1639,37,87,61
2,2117.5,401.839538936,96,67,1729,49,100,60
3,2186.0,416.02431549,99,13,1729,50,98,80
4,2502.5,396.89134358,87,40,1506,161,98,76
5,2252.0,415.351003043,100,0,1811,38,96,66
6,2232.5,439.125984979,100,0,1811,31,86,55
7,2188.0,415.948452475,99,8,1847,30,95,51
8,2239.5,420.098134065,99,1,1858,42,90,70
9,2188.0,433.744155854,98,39,1735,39,100,62
10,2276.5,424.601654858,99,1,1752,32,100,54
11,2270.5,388.643286429,99,1,1846,35,75,58
12,2216.0,433.313288794,99,1,1751,39,94,63
13,2218.5,393.640020833,99,2,1704,39,90,58
14,2230.5,383.764859088,97,75,1779,39,89,64
15,2251.0,416.117444079,100,0,1761,40,99,69
16,2247.5,416.016037257,98,90,1769,40,98,65
17,2241.0,414.000797368,99,1,1853,32,95,59
18,2234.0,424.986405888,99,1,1749,37,95,61
19,2168.0,367.169612272,95,84,1455,152,100,73
20,2149.0,407.469149455,97,85,1641,45,98,69
21,2254.5,410.020523518,97,99,1714,34,99,53
22,2210.0,369.615338838,98,8,1701,35,65,60
23,2230.5,404.624529383,99,1,1683,46,100,73
24,2266.0,359.471205568,98,43,1708,41,99,71
25,2263.0,379.885361342,98,2,1767,45,100,76
26,2235.5,400.92972151,100,0,1702,38,100,62
27,2175.0,422.340793492,99,16,1682,42,100,68
28,2159.0,390.730879638,98,2,1714,40,98,65
29,2223.5,429.986237588,99,1,1859,36,99,60
30,2230.5,404.614946738,99,20,1691,37,98,57
31,2249.0,391.517883621,99,58,1599,34,80,58
32,2236.0,410.7574163,98,83,1755,44,99,66
33,2211.5,425.565827579,99,42,1704,42,97,63
34,2269.0,396.548611736,98,69,1742,40,70,65
35,2258.0,413.352090766,99,1,1737,46,82,75
36,2218.5,457.270218684,100,0,1880,35,98,59
37,2222.5,413.62523168,99,1,1774,36,97,58
38,2210.5,412.209063152,99,1,1702,44,92,73
39,2160.5,383.822714138,96,88,1564,37,95,61
40,2196.5,409.907886923,100,0,1686,33,82,59
41,2163.5,430.421292568,99,1,1758,33,81,52
42,2257.5,399.422932971,99,1,1783,45,100,76
43,2144.0,446.944949473,99,1,1786,26,97,46
44,2229.5,406.512247587,99,1,1781,41,95,70
45,2252.0,386.794991478,99,1,1703,32,98,55
46,2298.0,433.803567566,99,57,1915,34,97,60
47,2150.0,422.139170969,98,23,1776,33,100,55
48,2249.0,410.061490792,100,0,1779,37,100,57
49,2258.0,419.228507996,99,1,1851,44,99,73
50,2267.0,420.878365396,100,0,1789,36,97,58
51,2229.0,421.183346518,99,1,1782,34,97,61
52,2222.0,421.23102389,99,1,1799,46,90,73
53,2234.5,437.187362441,99,1,1882,40,97,68
54,2222.0,380.928923481,98,35,1674,33,94,54
55,2244.0,413.455156936,98,33,1697,41,97,63
56,2125.0,408.061913896,99,1,1650,32,99,55
57,2213.0,414.934657257,99,1,1707,32,88,51
58,2080.5,331.48852078,91,91,1580,169,96,84
59,2223.0,402.012644179,99,1,1664,37,85,66
60,2142.5,395.429177503,100,0,1626,44,100,68
61,2274.0,380.95888802,99,1,1776,41,98,63
62,2260.5,411.205568488,99,1,1847,36,91,65
63,2245.5,416.728462285,97,85,1739,37,91,59
64,2116.5,413.899566602,99,26,1680,38,99,65
65,2224.0,402.991109351,98,69,1666,36,92,59
66,2263.5,419.360314443,95,83,1727,44,95,69
67,2232.5,396.07657275,98,82,1703,40,90,67
68,2255.0,434.68268938,99,1,1718,38,92,62
69,2170.0,443.915354131,100,0,1734,32,95,52
70,2177.0,411.49910342,99,1,1893,30,98,51
71,2274.5,400.56671208,98,82,1694,40,90,66
72,2267.0,422.782933669,100,0,1729,32,94,62
73,2239.0,374.614110057,98,72,1709,31,88,54
74,2230.0,397.153411216,99,1,1797,37,95,65
75,2162.0,403.920913725,99,1,1807,35,93,56
76,2200.5,418.244277405,99,20,1714,38,89,61
77,2202.0,402.130005674,98,65,1669,47,82,72
78,2145.5,416.38303761,98,51,1637,46,96,71
79,2241.0,391.726765133,99,88,1709,31,94,51
80,2202.5,386.212790073,99,14,1684,47,95,72
81,2181.0,419.157465494,98,56,1694,34,97,55
82,2194.0,412.002866402,99,2,1709,38,100,65
83,2291.0,437.956338616,100,0,1704,43,97,71
84,2196.0,413.010893147,99,1,1760,39,90,66
85,2196.0,431.890595941,100,0,1884,34,94,56
86,2191.5,409.90990643,98,73,1752,36,73,63
87,2175.0,424.813571073,97,68,1672,46,94,72
88,2238.0,421.203668817,99,1,1772,38,95,66
89,2236.0,408.82899409,100,0,1843,40,90,62
90,2217.5,441.872763398,100,0,1764,36,96,57
91,2244.0,404.309563445,100,0,1785,35,92,59
92,2198.5,408.785105961,99,2,1805,35,96,56
93,2188.5,400.273052035,99,1,1652,44,96,68
94,2148.0,409.166025818,95,67,1618,34,100,54
95,2174.0,418.129473833,97,65,1651,35,95,63
96,2150.5,383.839124717,97,36,1718,35,75,56
97,2216.5,415.06194966,99,1,1878,39,77,68
98,2083.5,344.052967297,95,74,1539,131,97,72
99,2285.5,380.971628771,98,55,1690,39,96,65
