,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,10,1664,37,100,57
1,99,93,1706,34,97,57
2,99,1,1729,32,96,55
3,100,0,1814,25,91,45
4,99,21,1688,26,70,47
5,100,0,1919,27,91,48
6,99,53,1708,39,98,67
7,98,34,1713,31,91,57
8,100,0,1798,33,97,55
9,99,35,1787,28,83,50
10,100,0,1860,19,100,34
11,99,2,1726,31,96,52
12,99,45,1795,29,96,48
13,100,0,1804,32,93,55
14,98,15,1724,33,98,58
15,100,0,1726,39,85,66
16,99,34,1683,22,72,44
17,98,97,1648,29,97,55
18,100,0,1802,26,100,44
19,100,0,1825,24,91,43
20,100,0,1841,28,98,47
21,99,1,1823,37,77,63
22,98,77,1761,29,96,45
23,99,1,1667,34,81,57
24,96,83,1722,39,83,64
25,100,0,1745,33,91,59
26,100,0,1659,34,73,60
27,100,0,1714,30,97,55
28,100,0,1807,33,94,55
29,100,0,1799,22,82,39
30,100,0,1691,24,77,45
31,99,1,1847,33,99,55
32,99,1,1758,24,80,44
33,100,0,1777,30,92,50
34,99,6,1786,30,98,48
35,98,2,1776,29,98,53
36,98,61,1751,31,89,56
37,99,1,1748,33,79,61
38,99,54,1759,28,94,49
39,99,3,1762,34,100,55
40,99,18,1843,28,89,47
41,100,0,1862,34,90,57
42,100,0,1730,23,94,43
43,98,62,1777,33,100,53
44,100,0,1718,19,94,42
45,100,0,1703,27,91,43
46,99,1,1830,29,96,52
47,100,0,1751,25,95,42
48,99,1,1757,31,96,59
49,99,1,1738,39,99,65
50,100,0,1784,33,95,52
51,100,0,1732,30,85,52
52,100,0,1645,32,98,51
53,100,0,1769,30,99,52
54,99,34,1805,30,95,57
55,100,0,1782,26,80,46
56,97,58,1748,33,97,57
57,100,0,1863,28,97,47
58,99,25,1737,28,95,51
59,99,1,1578,36,97,59
60,99,1,1684,35,91,57
61,99,94,1700,32,81,57
62,99,1,1801,36,97,63
63,100,0,1707,32,73,55
64,99,88,1778,25,93,44
65,100,0,1619,33,98,55
66,99,2,1692,33,97,58
67,100,0,1859,30,94,54
68,100,0,1757,34,98,60
69,100,0,1736,29,90,50
70,100,0,1669,24,89,48
71,100,0,1737,31,90,50
72,99,1,1840,35,85,57
73,97,98,1608,34,98,60
74,98,95,1698,30,95,55
75,99,2,1786,26,88,46
76,99,1,1764,25,100,41
77,100,0,1746,31,80,55
78,100,0,1662,26,99,46
79,99,5,1858,32,80,54
80,100,0,1722,29,92,53
81,99,100,1910,24,100,43
82,99,64,1728,35,98,51
83,99,40,1716,33,99,53
84,100,0,1781,34,99,58
85,99,75,1687,28,92,52
86,99,65,1667,29,98,51
87,100,0,1877,26,99,48
88,99,1,1853,31,91,56
89,98,78,1710,33,93,54
90,99,38,1655,20,89,41
91,99,39,1745,22,92,41
92,100,0,1821,33,100,55
93,98,20,1616,35,97,59
94,100,0,1895,28,100,44
95,100,0,1655,28,100,48
96,100,0,1799,43,95,67
97,98,15,1932,33,100,60
98,98,20,1788,36,95,59
99,100,0,1796,22,92,40
