,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,2,1785,27,99,46
1,99,28,1809,20,95,37
2,99,12,1749,24,85,43
3,92,100,1572,195,100,63
4,99,1,1891,34,98,55
5,100,0,1784,24,88,43
6,98,82,1776,38,100,59
7,100,0,1716,31,92,53
8,98,6,1665,31,96,45
9,100,0,1838,32,94,57
10,99,1,1815,38,100,57
11,99,21,1671,29,71,48
12,99,1,1829,34,93,64
13,100,0,1683,24,99,38
14,100,0,1781,31,91,53
15,98,36,1689,34,93,58
16,99,1,1775,25,90,48
17,99,75,1764,43,92,69
18,92,95,1582,130,100,57
19,100,0,1869,34,86,53
20,99,1,1785,28,86,50
21,100,0,1646,38,91,55
22,100,0,1860,34,98,53
23,99,1,1750,33,96,54
24,99,70,1817,36,100,55
25,100,0,1824,28,99,45
26,100,0,1921,33,97,58
27,100,0,1725,30,80,48
28,100,0,1738,41,97,66
29,100,0,1836,31,99,54
30,99,1,1727,39,79,54
31,100,0,1684,24,91,42
32,99,1,1667,35,90,56
33,100,0,1753,33,97,56
34,100,0,1798,26,69,49
35,100,0,1723,27,91,45
36,99,1,1829,28,70,53
37,100,0,1836,25,89,45
38,97,35,1869,34,99,56
39,100,0,1818,28,89,52
40,99,1,1754,28,96,47
41,99,1,1758,28,99,48
42,100,0,1627,31,91,54
43,99,61,1847,39,98,56
44,100,0,1814,33,99,54
45,98,10,1883,28,90,48
46,99,39,1701,35,96,58
47,98,54,1834,27,97,49
48,98,85,1670,31,99,51
49,99,59,1733,37,95,59
50,99,95,1762,26,95,49
51,99,1,1775,35,93,56
52,99,1,1730,29,91,54
53,100,0,1872,27,97,52
54,98,97,1668,26,99,44
55,100,0,1822,29,94,52
56,98,30,1660,35,99,58
57,100,0,1865,35,93,57
58,100,0,1682,34,94,56
59,100,0,1890,28,98,54
60,98,4,1806,25,98,46
61,99,1,1771,35,95,61
62,98,42,1745,44,100,66
63,99,1,1774,30,100,53
64,100,0,1682,38,100,56
65,99,24,1830,24,89,45
66,99,2,1730,32,94,59
67,99,1,1745,33,95,49
68,99,35,1790,30,78,56
69,100,0,1784,32,95,52
70,99,57,1870,31,100,51
71,98,54,1617,35,100,56
72,100,0,1647,30,100,49
73,99,14,1773,80,97,63
74,97,92,1756,23,96,42
75,100,0,1859,38,99,62
76,98,24,1712,32,98,54
77,99,63,1694,31,85,53
78,99,1,1859,32,93,51
79,99,1,1803,30,98,48
80,99,1,1654,36,97,61
81,99,42,1759,27,98,52
82,100,0,1709,28,87,48
83,97,75,1573,34,96,54
84,100,0,1767,29,98,54
85,100,0,1771,32,97,53
86,98,80,1663,29,90,49
87,99,1,1785,30,99,49
88,99,13,1767,28,100,46
89,100,0,1710,27,94,46
90,100,0,1825,30,80,46
91,99,1,1749,36,91,58
92,98,8,1640,35,84,55
93,98,78,1872,41,95,59
94,99,1,1693,33,77,54
95,100,0,1704,35,99,59
96,99,44,1634,32,97,51
97,100,0,1775,25,99,44
98,100,0,1787,69,99,48
99,99,1,1718,36,89,58
