,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,2203.0,449.426420335,99,37,1804,29,92,49
1,2158.5,391.187525106,98,4,1744,31,95,50
2,2211.5,389.566930228,96,51,1571,33,91,58
3,2198.0,394.391338031,99,1,1678,34,96,53
4,2165.5,421.107799357,99,30,1832,34,100,56
5,2205.0,417.198527164,99,3,1716,29,81,43
6,2156.5,418.908752543,99,19,1676,35,80,56
7,2238.0,414.900515398,99,2,1756,40,93,66
8,2196.0,410.585538227,98,84,1737,31,85,56
9,2187.5,430.525523612,100,0,1824,29,100,49
10,2252.5,442.720809192,99,80,1819,32,98,51
11,2228.0,424.399882532,98,24,1722,37,100,60
12,2266.5,405.309405919,98,35,1766,40,88,60
13,2273.5,456.558368964,100,0,1831,33,100,52
14,2331.5,430.195088795,100,0,1857,25,100,41
15,2181.0,440.137346963,99,93,1689,28,96,44
16,2286.0,469.399851078,100,0,1905,27,95,52
17,2183.0,402.77347507,100,0,1630,26,84,45
18,2273.5,410.355958655,99,7,1805,32,100,55
19,2234.0,445.705622965,100,0,1862,24,99,39
20,2247.5,432.53850244,98,100,1736,29,100,48
21,2176.0,434.71298538,100,0,1734,22,89,40
22,2209.5,429.764811902,99,5,1657,23,92,38
23,2176.0,388.38111395,98,25,1628,28,99,50
24,2187.0,446.30669867,100,0,1813,29,88,43
25,2147.5,455.588198873,99,20,1817,27,96,49
26,2252.5,424.86295398,100,0,1867,34,93,58
27,2232.0,416.159667838,99,2,1847,33,97,55
28,2213.0,417.058371149,98,46,1662,29,99,50
29,2202.5,395.66094579,99,1,1730,37,88,63
30,2199.5,423.875492224,100,0,1722,21,98,38
31,2190.5,392.371295417,99,1,1659,32,94,47
32,2211.5,432.761313878,100,0,1788,35,100,61
33,2193.5,410.307472185,98,26,1824,28,89,49
34,2202.0,452.796630873,100,0,1768,26,91,46
35,2160.5,430.172891902,100,0,1722,24,100,44
36,2251.0,420.443188229,99,23,1796,34,89,54
37,2173.0,410.101305582,99,1,1841,38,85,61
38,2214.5,442.005028106,99,49,1787,27,80,48
39,2252.0,416.383747089,97,81,1732,31,86,53
40,2253.5,409.139484946,98,70,1854,24,89,43
41,2219.5,442.892197566,100,0,1827,24,99,46
42,2293.5,427.846685363,99,24,1837,25,93,52
43,2177.5,463.205788389,100,0,1733,28,91,48
44,2155.5,416.88016959,99,1,1644,28,100,50
45,2173.0,408.199372378,98,13,1718,28,95,50
46,2228.0,439.319573889,99,54,1845,33,99,52
47,2163.5,452.493337157,100,0,1751,21,97,43
48,2268.5,439.98718714,99,1,1795,27,98,47
49,2189.0,426.085778261,98,14,1649,29,98,53
50,2154.0,404.328157813,99,1,1656,34,92,58
51,2201.0,438.126183053,100,0,1746,32,98,55
52,2176.5,412.106994247,99,1,1749,29,94,51
53,2198.5,426.000003864,100,0,1811,40,98,68
54,2219.0,433.363484154,99,2,1792,31,92,56
55,2184.5,409.726530086,100,0,1683,30,99,48
56,2210.0,420.799407507,98,39,1884,24,91,44
57,2236.5,383.075859651,99,2,1786,30,90,55
58,2231.0,423.890274714,99,2,1831,35,99,54
59,2194.0,433.055862386,99,1,1790,30,97,52
60,2311.5,429.437111436,99,1,2000,31,100,59
61,2231.5,397.534465689,98,34,1761,27,99,44
62,2190.5,410.681161715,100,0,1734,31,82,52
63,2248.0,432.785979956,100,0,1837,28,65,48
64,2240.5,422.549230224,100,0,1778,29,100,47
65,2210.0,448.928105966,100,0,1790,26,93,45
66,2243.0,390.374029762,100,0,1731,27,90,47
67,2176.0,425.403505726,98,20,1756,30,98,53
68,2200.0,412.019842903,100,0,1595,27,90,48
69,2234.5,395.95713911,97,100,1803,24,100,43
70,2230.5,432.186027873,99,1,1747,26,97,47
71,2228.5,419.960200318,99,1,1655,33,94,54
72,2213.5,416.328527019,100,0,1744,26,84,48
73,2224.0,427.52304818,100,0,1820,28,89,48
74,2214.0,430.952415825,99,73,1730,31,98,48
75,2158.0,429.271613835,98,80,1642,29,79,47
76,2295.5,412.571821942,99,3,1865,21,98,44
77,2226.5,401.220074377,100,0,1777,29,82,49
78,2186.5,464.921687652,98,77,1816,31,98,47
79,2214.0,407.747305684,99,10,1774,29,99,46
80,2240.0,422.964141467,100,0,1867,36,100,61
81,2180.0,401.09736989,100,0,1641,32,94,58
82,2228.0,423.366967515,100,0,1769,27,87,49
83,2237.5,439.631617446,100,0,1863,37,98,60
84,2182.5,367.367637959,99,1,1750,36,87,61
85,2194.0,442.789516165,100,0,1723,30,92,50
86,2187.5,440.108678913,99,35,1771,31,95,48
87,2208.5,393.281965343,97,81,1802,38,85,59
88,2270.0,439.549451642,100,0,1804,30,95,47
89,2241.5,445.104193215,100,0,1879,32,91,52
90,2199.5,452.861220913,100,0,1802,35,92,56
91,2209.5,439.341781998,100,0,1743,32,95,53
92,2178.0,397.785489659,99,1,1671,25,91,50
93,2138.0,446.334752515,100,0,1755,25,99,44
94,2209.0,408.154982452,100,0,1725,34,97,56
95,2311.5,426.140303187,100,0,1763,36,99,57
96,2174.0,423.925326084,100,0,1712,39,97,65
97,2248.0,452.079785745,100,0,1735,34,91,54
98,2292.5,426.996647918,100,0,1830,27,76,50
99,2233.5,424.822117773,100,0,1788,36,94,65
