,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,100,0,1805,31,93,48
1,99,55,1799,27,100,50
2,100,0,1770,25,99,44
3,100,0,1767,27,71,48
4,100,0,1761,31,82,50
5,99,1,1772,27,89,50
6,99,1,1618,34,76,54
7,100,0,1795,31,93,54
8,99,4,1817,27,92,45
9,100,0,1701,33,91,53
10,100,0,1846,31,98,51
11,100,0,1694,27,71,49
12,98,26,1855,29,97,53
13,99,62,1757,32,99,50
14,98,9,1849,45,93,65
15,99,33,1824,33,95,58
16,98,7,1771,36,98,62
17,98,26,1634,32,87,58
18,98,55,1761,30,89,53
19,99,1,1617,33,96,57
20,100,0,1776,30,91,50
21,99,55,1799,31,88,52
22,99,1,1811,29,95,48
23,99,1,1714,39,99,62
24,100,0,1776,33,97,51
25,98,49,1791,26,90,48
26,99,8,1794,23,91,42
27,98,75,1810,39,87,65
28,98,7,1788,22,99,45
29,100,0,1773,31,87,56
30,100,0,1987,30,92,50
31,100,0,1765,24,96,50
32,100,0,1775,29,94,51
33,98,50,1789,25,94,46
34,99,1,1930,28,93,48
35,100,0,1814,31,98,50
36,100,0,1805,32,99,59
37,97,61,1757,29,97,52
38,99,47,1685,33,99,49
39,100,0,1727,28,96,48
40,99,35,1866,33,97,54
41,98,86,1780,26,99,45
42,99,76,1694,33,96,57
43,100,0,1795,32,100,52
44,100,0,1778,30,95,49
45,100,0,1848,42,90,62
46,99,85,1736,21,91,42
47,99,1,1760,28,95,52
48,100,0,1739,33,98,57
49,100,0,1826,27,92,51
50,100,0,1713,28,87,48
51,100,0,1787,39,100,60
52,100,0,1873,30,93,50
53,100,0,1786,22,95,43
54,100,0,1773,28,97,45
55,100,0,1761,29,86,51
56,99,1,1684,34,98,58
57,100,0,1837,26,95,47
58,99,1,1788,30,58,50
59,100,0,1765,30,100,51
60,99,59,1797,30,98,55
61,98,27,1779,36,99,57
62,100,0,1705,22,95,46
63,100,0,1755,27,81,48
64,99,17,1853,27,99,45
65,99,17,1662,40,94,64
66,100,0,1767,34,94,57
67,100,0,1731,25,85,45
68,100,0,1922,27,99,48
69,99,1,1632,25,95,44
70,100,0,1758,32,70,57
71,99,50,1605,35,90,59
72,99,71,1872,28,92,48
73,99,1,1722,32,99,53
74,99,7,1806,32,98,52
75,73,85,1264,178,89,65
76,99,1,1714,35,95,57
77,99,2,1749,27,98,48
78,100,0,1755,24,91,41
79,100,0,1779,24,83,43
80,100,0,1701,32,87,53
81,100,0,1747,27,93,49
82,98,3,1684,29,93,49
83,100,0,1793,26,85,46
84,100,0,1800,34,98,60
85,98,45,1823,30,94,54
86,99,2,1648,27,93,48
87,100,0,1674,29,61,47
88,98,72,1713,34,88,55
89,100,0,1829,28,83,48
90,100,0,1870,22,96,44
91,100,0,1623,29,89,50
92,100,0,1922,23,93,44
93,99,19,1816,26,93,48
94,99,1,1887,27,91,51
95,99,39,1871,30,92,51
96,99,78,1807,33,95,49
97,97,78,1720,32,100,52
98,100,0,1727,29,76,49
99,100,0,1803,29,98,49
