,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,93,12,1551,118,97,73
1,95,6,1528,102,67,62
2,96,6,1706,104,92,51
3,96,50,1575,125,90,68
4,95,9,1718,116,95,66
5,96,12,1542,124,75,59
6,94,8,1708,126,98,65
7,96,9,1662,116,100,59
8,95,61,1617,102,79,67
9,97,6,1599,119,96,60
10,96,9,1647,123,91,71
11,96,6,1610,125,100,61
12,93,13,1728,156,100,64
13,96,4,1705,118,99,69
14,94,8,1557,111,91,51
15,95,18,1682,103,98,61
16,97,7,1571,110,94,54
17,97,4,1760,113,65,55
18,95,5,1755,121,100,64
19,95,10,1709,116,77,68
20,95,12,1549,97,96,63
21,94,21,1740,110,98,56
22,95,55,1676,126,90,69
23,95,85,1563,115,96,66
24,92,9,1610,124,95,53
25,95,12,1663,116,87,53
26,94,11,1747,113,97,47
27,96,8,1589,106,93,60
28,93,88,1690,112,98,59
29,96,4,1774,122,80,67
30,95,10,1693,117,96,58
31,93,11,1730,111,100,62
32,95,7,1701,114,66,63
33,96,8,1592,104,96,50
34,95,6,1744,126,97,60
35,96,40,1630,120,94,58
36,97,9,1737,161,100,61
37,94,26,1723,122,90,62
38,93,67,1699,119,89,58
39,96,78,1563,116,97,58
40,93,62,1745,118,97,60
41,95,14,1672,112,99,67
42,95,9,1676,108,87,62
43,97,14,1537,155,100,64
44,94,14,1641,118,92,58
45,95,9,1591,107,97,51
46,94,10,1717,118,91,67
47,93,61,1655,120,99,64
48,93,69,1726,118,92,57
49,95,7,1663,126,75,59
50,73,78,1184,224,97,64
51,95,13,1726,112,67,53
52,97,87,1824,116,90,53
53,95,6,1734,98,97,63
54,93,93,1627,119,86,63
55,95,10,1642,109,93,51
56,96,12,1656,124,98,61
57,96,6,1557,120,100,58
58,95,6,1624,107,87,59
59,95,15,1815,111,99,65
60,97,4,1825,118,92,58
61,97,4,1619,116,78,58
62,94,31,1641,118,91,66
63,97,3,1638,97,77,55
64,94,6,1623,125,99,64
65,98,12,1677,112,93,50
66,93,32,1668,113,95,59
67,94,53,1777,120,97,55
68,95,13,1605,122,98,58
69,94,14,1678,126,100,60
70,94,12,1618,113,99,53
71,94,7,1617,135,100,71
72,93,40,1609,125,98,62
73,97,6,1674,95,92,56
74,94,9,1639,129,99,65
75,94,97,1678,114,94,58
76,91,13,1561,111,80,63
77,94,10,1763,109,90,57
78,99,1,1696,102,66,54
79,96,10,1676,99,87,52
80,96,7,1651,123,95,70
81,97,10,1714,122,95,56
82,95,11,1726,103,88,49
83,95,9,1664,116,75,69
84,94,11,1559,120,84,74
85,95,45,1601,121,99,61
86,98,24,1647,126,96,68
87,95,5,1607,107,84,54
88,97,10,1723,121,86,66
89,96,6,1703,129,92,67
90,93,43,1624,134,100,66
91,94,88,1681,112,96,63
92,97,3,1776,128,100,66
93,94,6,1650,136,97,69
94,94,12,1684,162,98,69
95,94,9,1552,109,100,50
96,94,14,1626,108,100,55
97,93,92,1629,120,96,66
98,95,10,1638,125,95,64
99,98,4,1686,106,89,62
