,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,100,0,1704,24,88,43
1,99,78,1803,32,96,57
2,100,0,1729,28,96,47
3,97,78,1621,29,78,51
4,100,0,1733,23,80,45
5,100,0,1753,29,100,51
6,99,57,1734,30,96,50
7,99,1,1696,33,70,55
8,100,0,1609,21,88,37
9,100,0,1702,40,96,65
10,99,1,1730,19,67,41
11,97,92,1799,36,96,59
12,98,10,1710,27,98,46
13,100,0,1832,28,99,47
14,99,1,1738,27,98,51
15,100,0,1794,25,80,45
16,98,61,1772,28,97,50
17,100,0,1787,29,99,49
18,98,4,1659,33,98,58
19,100,0,1774,64,98,44
20,100,0,1822,27,91,49
21,98,42,1722,29,85,50
22,99,1,1714,28,99,49
23,98,23,1646,33,93,54
24,98,86,1751,26,91,48
25,98,41,1761,28,94,48
26,99,29,1798,32,82,52
27,98,85,1584,37,100,65
28,99,64,1832,25,90,48
29,99,4,1745,27,100,48
30,100,0,1806,27,94,43
31,99,25,1875,28,87,52
32,98,26,1753,41,100,60
33,100,0,1734,33,96,55
34,100,0,1781,32,100,53
35,99,88,1758,23,84,38
36,99,1,1826,32,100,56
37,100,0,1849,24,98,38
38,100,0,1699,25,88,46
39,99,63,1624,27,97,47
40,100,0,1800,27,95,47
41,98,15,1743,33,96,47
42,97,85,1681,32,98,55
43,98,15,1789,27,100,47
44,99,23,1822,30,89,53
45,100,0,1810,29,97,48
46,100,0,1927,24,90,44
47,99,3,1668,31,99,50
48,100,0,1785,29,93,54
49,99,6,1801,25,90,45
50,100,0,1850,29,91,47
51,100,0,1794,30,83,48
52,99,2,1902,29,82,55
53,100,0,1782,23,99,45
54,98,67,1814,26,97,47
55,99,2,1841,26,95,45
56,99,17,1773,35,96,59
57,100,0,1794,25,83,42
58,100,0,1780,40,90,63
59,98,63,1739,29,93,47
60,100,0,1796,29,99,51
61,98,57,1632,34,99,49
62,98,74,1781,25,97,45
63,100,0,1820,21,91,43
64,100,0,1698,26,98,40
65,98,35,1759,33,92,49
66,99,1,1757,38,99,58
67,99,1,1821,27,92,47
68,99,1,1765,26,96,51
69,98,81,1638,29,97,47
70,99,1,1729,26,95,43
71,100,0,1785,31,98,55
72,98,90,1855,28,76,51
73,99,1,1709,24,97,47
74,100,0,1799,33,91,58
75,98,20,1610,30,100,52
76,100,0,1839,23,91,42
77,100,0,1781,64,100,48
78,99,1,1783,34,83,56
79,100,0,1827,35,98,59
80,98,100,1751,22,100,41
81,99,1,1534,29,99,51
82,100,0,1742,28,69,53
83,99,48,1664,22,94,42
84,92,78,1520,148,100,56
85,99,1,1764,32,98,55
86,100,0,1696,35,98,54
87,100,0,1797,28,72,49
88,99,23,1678,36,91,56
89,98,31,1764,33,97,53
90,100,0,1646,28,99,52
91,100,0,1807,31,99,53
92,99,12,1868,32,85,53
93,100,0,2000,27,97,45
94,100,0,1750,29,77,48
95,99,21,1872,26,99,44
96,98,45,1797,32,82,56
97,99,1,1843,24,100,50
98,100,0,1704,24,92,41
99,100,0,1758,32,100,57
