,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,2,1681,31,96,53
1,99,1,1811,34,99,54
2,99,81,1857,22,89,40
3,99,9,1877,21,99,41
4,99,21,1580,33,100,52
5,100,0,1728,25,93,44
6,100,0,1772,23,100,46
7,99,91,1728,28,99,53
8,100,0,1804,25,98,51
9,99,25,1654,30,98,52
10,99,1,1783,25,100,45
11,100,0,1716,31,93,57
12,100,0,1837,24,78,44
13,99,56,1812,30,94,52
14,100,0,1758,27,99,49
15,100,0,1708,28,81,43
16,99,29,1745,28,92,50
17,99,1,1784,30,81,53
18,99,4,1794,27,92,48
19,99,1,1885,33,96,56
20,100,0,1738,25,94,46
21,100,0,1855,26,99,45
22,99,1,1722,26,93,45
23,99,1,1853,25,90,47
24,100,0,1745,38,99,54
25,99,1,1884,32,82,54
26,100,0,1776,25,100,43
27,99,28,1734,29,98,48
28,100,0,1847,25,79,42
29,100,0,1913,23,95,47
30,98,67,1755,31,87,51
31,98,45,1743,30,97,52
32,100,0,1807,30,97,54
33,99,22,1658,32,84,48
34,100,0,1706,33,95,59
35,99,62,1776,39,96,64
36,100,0,1714,28,89,51
37,98,47,1769,31,92,53
38,100,0,1629,31,99,52
39,98,55,1620,25,92,43
40,97,40,1799,31,96,51
41,99,68,1723,28,96,46
42,99,2,1805,30,100,58
43,100,0,1617,36,89,57
44,100,0,1755,37,94,59
45,99,1,2032,32,100,53
46,99,1,1811,29,98,45
47,100,0,1732,32,80,53
48,98,50,1707,28,99,47
49,98,22,1693,31,96,54
50,99,1,1559,38,98,67
51,99,38,1812,27,94,46
52,99,18,1671,27,96,44
53,97,80,1635,30,74,56
54,99,1,1712,34,86,56
55,98,62,1692,27,96,46
56,99,1,1673,30,96,52
57,100,0,1878,29,100,49
58,99,44,1620,31,85,51
59,100,0,1731,32,84,61
60,100,0,1673,36,92,58
61,100,0,1748,26,74,56
62,100,0,1696,30,89,57
63,99,1,1676,29,97,50
64,99,52,1834,29,99,46
65,98,4,1739,25,77,48
66,99,1,1751,30,99,50
67,100,0,1674,24,98,43
68,100,0,1823,22,90,41
69,100,0,1866,35,100,54
70,98,68,1624,31,100,53
71,100,0,1770,32,91,49
72,99,48,1693,25,75,44
73,100,0,1903,22,79,43
74,99,1,1606,38,90,60
75,100,0,1946,35,97,58
76,100,0,1825,24,96,40
77,100,0,1814,39,91,63
78,99,1,1731,24,96,42
79,100,0,1658,30,98,52
80,100,0,1699,32,99,50
81,100,0,1700,32,100,53
82,100,0,1801,26,80,46
83,99,1,1635,37,100,60
84,99,89,1831,25,97,48
85,98,76,1769,23,92,39
86,99,85,1738,24,95,41
87,98,70,1748,34,100,50
88,100,0,1853,31,95,58
89,99,2,1818,28,100,51
90,98,27,1650,25,78,43
91,100,0,1589,26,93,44
92,99,92,1802,27,92,44
93,99,1,1849,33,100,57
94,100,0,1779,30,95,58
95,98,5,1799,27,97,48
96,100,0,1849,27,83,47
97,100,0,1727,22,73,44
98,99,35,1836,30,97,61
99,100,0,1694,28,99,44
