,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,1,1706,29,86,54
1,100,0,1777,27,90,46
2,98,55,1751,28,98,45
3,100,0,1785,28,96,48
4,100,0,1813,19,83,36
5,100,0,1892,29,90,46
6,100,0,1610,37,98,57
7,100,0,1851,30,95,48
8,99,1,1794,32,82,49
9,99,1,1804,30,98,49
10,99,80,1722,30,80,56
11,98,53,1680,29,96,52
12,99,1,1764,27,87,57
13,98,97,1692,26,97,44
14,100,0,1764,26,100,44
15,98,2,1859,34,87,55
16,99,59,1784,32,85,49
17,99,87,1832,34,90,53
18,100,0,1873,16,85,32
19,98,4,1731,34,88,59
20,100,0,1808,24,81,44
21,100,0,1767,29,95,50
22,98,14,1898,30,95,57
23,100,0,1811,23,87,43
24,100,0,1888,22,90,41
25,99,1,1794,26,98,48
26,97,76,1746,34,76,58
27,98,94,1767,36,100,58
28,99,2,1690,30,94,53
29,100,0,1796,31,86,53
30,98,85,1704,36,89,57
31,99,1,1807,25,90,40
32,98,8,1812,22,96,37
33,100,0,1852,27,99,48
34,99,1,1884,22,33,42
35,100,0,1729,27,99,46
36,100,0,1869,26,87,41
37,100,0,1706,30,97,52
38,100,0,1817,21,92,36
39,100,0,1716,36,97,57
40,99,1,1769,33,76,59
41,99,5,1795,26,97,46
42,98,8,1726,32,97,56
43,99,53,1732,29,98,48
44,100,0,1775,27,93,49
45,100,0,1732,28,100,48
46,100,0,1817,18,100,37
47,99,78,1786,23,92,44
48,99,87,1807,24,100,46
49,99,37,1751,33,98,52
50,100,0,1803,24,92,40
51,99,1,1768,26,100,48
52,99,56,1766,31,80,53
53,99,1,1687,37,84,59
54,99,87,1658,36,89,56
55,99,20,1605,34,93,57
56,100,0,1767,30,97,50
57,100,0,1730,30,98,52
58,98,3,1694,32,94,59
59,99,1,1709,35,95,59
60,97,11,1572,26,94,46
61,97,96,1738,26,73,47
62,100,0,1768,27,95,45
63,100,0,1768,39,96,61
64,100,0,1876,27,86,48
65,100,0,1841,23,73,46
66,99,21,1732,30,99,57
67,100,0,1866,32,100,53
68,98,76,1773,32,100,53
69,100,0,1772,25,91,48
70,98,3,1790,31,94,56
71,100,0,1782,25,97,45
72,99,1,1813,20,99,39
73,99,10,1735,31,88,57
74,99,2,1641,29,96,45
75,100,0,1672,26,93,44
76,99,2,1728,35,98,56
77,99,52,1780,33,91,58
78,98,3,1663,36,88,58
79,98,50,1552,25,97,42
80,100,0,1844,22,94,44
81,98,51,1725,25,98,44
82,99,12,1741,33,66,55
83,98,2,1769,34,99,56
84,100,0,1720,29,90,53
85,98,44,1709,29,100,46
86,98,35,1754,28,93,47
87,98,16,1820,39,95,60
88,99,6,1873,28,52,51
89,100,0,1825,21,95,39
90,98,68,1657,28,88,51
91,99,1,1697,27,86,49
92,100,0,1646,34,99,57
93,98,56,1797,29,94,56
94,97,59,1663,24,98,47
95,97,58,1729,37,89,58
96,100,0,1645,25,90,47
97,100,0,1877,21,95,40
98,98,24,1680,31,97,56
99,100,0,1682,27,93,45
