,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,1,1764,25,92,42
1,99,1,1787,35,97,63
2,100,0,1768,27,89,51
3,98,93,1769,25,98,46
4,100,0,1720,32,100,54
5,99,1,1766,24,90,39
6,100,0,1721,28,94,48
7,100,0,1747,28,98,53
8,94,66,1639,126,95,48
9,99,1,1709,31,97,52
10,99,84,1798,35,100,62
11,100,0,1759,24,93,44
12,100,0,1798,25,89,48
13,99,54,1818,30,100,47
14,99,12,1809,26,96,46
15,100,0,1688,20,85,44
16,99,31,1748,32,97,53
17,100,0,1609,34,88,59
18,100,0,1791,29,100,58
19,99,79,1715,55,96,42
20,98,11,1801,30,100,47
21,99,17,1740,25,70,43
22,99,1,1914,20,91,42
23,99,80,1723,26,93,49
24,98,41,1768,38,100,58
25,99,1,1890,25,89,48
26,100,0,1746,25,79,44
27,99,54,1790,35,95,59
28,100,0,1788,28,100,46
29,100,0,1799,24,96,41
30,99,1,1754,34,97,54
31,100,0,1774,32,99,59
32,100,0,1829,26,96,47
33,100,0,1806,25,76,47
34,100,0,1715,29,98,49
35,99,49,1693,29,95,50
36,99,1,1751,30,100,51
37,100,0,1811,23,74,44
38,99,1,1672,34,96,57
39,98,12,1712,31,75,53
40,99,20,1745,36,87,57
41,64,100,1056,212,100,64
42,99,1,1837,26,98,52
43,98,38,1730,33,99,58
44,100,0,1772,25,96,49
45,99,2,1829,29,100,52
46,99,15,1737,31,98,56
47,100,0,1817,19,96,35
48,98,81,1653,18,94,40
49,100,0,1914,24,96,50
50,100,0,1619,22,76,43
51,99,2,1860,26,81,47
52,100,0,1768,28,91,48
53,99,31,1617,38,89,59
54,99,1,1829,19,87,35
55,99,1,1736,25,95,47
56,98,25,1734,28,100,48
57,100,0,1750,35,80,60
58,100,0,1837,27,73,48
59,100,0,1831,29,99,52
60,99,1,1681,29,89,45
61,98,91,1894,34,99,58
62,99,1,1849,28,90,48
63,100,0,1754,25,82,48
64,99,1,1714,35,92,60
65,99,53,1827,30,92,53
66,99,2,1744,34,93,54
67,99,44,1926,28,92,49
68,99,1,1746,29,100,53
69,99,1,1744,26,100,51
70,100,0,1702,27,79,45
71,99,29,1842,26,95,45
72,98,83,1782,27,93,48
73,100,0,1861,22,99,38
74,100,0,1766,36,100,60
75,99,17,1772,32,88,52
76,99,1,1634,20,88,39
77,99,1,1700,33,86,59
78,99,49,1773,29,89,52
79,97,69,1757,41,87,66
80,98,71,1851,36,96,56
81,98,7,1760,59,99,45
82,100,0,1785,27,98,54
83,100,0,1875,23,99,44
84,100,0,1889,27,94,47
85,99,1,1817,31,88,48
86,99,1,1814,35,90,52
87,100,0,1596,27,81,50
88,100,0,1720,21,95,42
89,100,0,1782,25,99,49
90,100,0,1786,32,92,55
91,99,11,1767,31,100,53
92,99,75,1730,31,100,52
93,100,0,1768,29,85,53
94,100,0,1765,26,91,47
95,99,1,1827,32,96,58
96,99,46,1792,27,84,52
97,98,85,1705,40,97,67
98,99,68,1668,31,92,49
99,100,0,1783,29,95,49
