,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,100,0,1742,36,97,57
1,99,1,1859,27,91,51
2,100,0,1864,27,98,44
3,100,0,1808,30,91,56
4,100,0,1760,25,100,38
5,99,58,1740,25,99,42
6,98,23,1776,29,100,47
7,98,14,1801,32,93,49
8,100,0,1683,33,96,57
9,99,1,1746,23,95,44
10,98,14,1669,31,97,57
11,98,81,1790,27,86,46
12,100,0,1784,25,98,44
13,100,0,1728,31,95,53
14,100,0,1710,28,76,47
15,100,0,1747,28,95,47
16,99,1,1789,30,88,52
17,100,0,1750,28,94,54
18,100,0,1565,26,97,42
19,100,0,1853,36,97,54
20,100,0,1839,23,96,40
21,100,0,1763,28,82,49
22,99,9,1695,32,96,53
23,97,81,1738,32,99,53
24,98,29,1708,26,86,46
25,99,1,1823,27,93,47
26,100,0,1809,30,86,52
27,99,1,1684,24,100,44
28,99,1,1853,21,76,40
29,99,10,1861,27,99,45
30,100,0,1715,32,85,54
31,99,2,1750,34,96,56
32,99,1,1690,29,100,49
33,100,0,1942,36,96,60
34,100,0,1721,24,93,46
35,99,1,1812,22,95,43
36,100,0,1702,25,75,47
37,100,0,1665,34,99,56
38,98,2,1557,31,99,55
39,100,0,1810,27,100,50
40,99,25,1597,26,86,48
41,100,0,1751,26,96,44
42,100,0,1634,34,70,53
43,99,32,1661,22,71,48
44,99,90,1629,33,93,58
45,100,0,1578,31,90,53
46,99,64,1752,21,97,38
47,100,0,1799,36,93,55
48,100,0,1624,24,99,41
49,99,21,1757,26,91,44
50,99,53,1654,30,98,48
51,99,95,1745,28,96,48
52,99,1,1753,31,94,54
53,99,88,1796,26,92,47
54,99,10,1775,29,96,48
55,100,0,1646,25,89,43
56,98,64,1754,26,81,45
57,100,0,1648,36,89,58
58,99,1,1837,30,99,54
59,99,9,1677,29,93,49
60,98,54,1652,39,89,65
61,100,0,1670,25,91,44
62,99,18,1548,28,100,46
63,100,0,1821,24,77,42
64,100,0,1848,19,96,35
65,100,0,1765,26,96,47
66,99,1,1798,37,77,60
67,99,1,1742,34,99,54
68,100,0,1783,32,95,51
69,99,1,1772,36,99,61
70,99,17,1584,22,85,40
71,100,0,1687,34,82,54
72,100,0,1828,32,98,51
73,100,0,1860,25,79,44
74,99,1,1808,34,98,61
75,99,93,1741,31,100,50
76,99,4,1677,33,97,61
77,100,0,1861,29,100,49
78,100,0,1641,29,91,49
79,100,0,1671,27,65,47
80,99,2,1734,34,97,59
81,98,20,1766,27,83,46
82,98,64,1799,33,85,52
83,99,1,1878,31,97,55
84,98,4,1803,31,91,49
85,100,0,1676,23,96,42
86,99,1,1642,26,88,43
87,98,4,1723,19,100,41
88,99,16,1751,39,85,61
89,96,74,1669,36,100,62
90,99,1,1751,33,80,62
91,100,0,1739,36,92,59
92,100,0,1755,28,93,51
93,98,48,1711,35,96,57
94,100,0,1702,35,89,64
95,100,0,1731,28,91,49
96,97,76,1767,29,98,54
97,99,1,1655,25,93,43
98,98,76,1655,28,95,45
99,98,75,1723,30,90,50
